codigo_municipio,nome_municipio,uf,qtd_inscritos,qtd_treineiros,indice_vulnerabilidade_medio,pct_sem_computador,pct_sem_internet,pct_escola_publica,pct_sem_renda_familiar,pct_pais_baixa_escolaridade,pct_baixa_vulnerabilidade,pct_media_vulnerabilidade,pct_alta_vulnerabilidade,nota_media_cn,nota_media_ch,nota_media_lc,nota_media_mt,nota_media_redacao,nota_media_geral,n_efetivo_nota,taxa_ausencia_pct,pct_treineiros,peso_estatistico,regiao
1100015,Alta Floresta D'Oeste,RO,601,117,2.131447587354409,61.39767054908486,6.4891846921797,97.67054908485858,7.820299500831947,39.767054908485854,27.454242928452576,66.55574043261231,5.990016638935108,478.2917948717948,488.2592307692308,501.75307692307695,474.4423076923077,564.5641025641025,501.46210256410257,390,35.108153078202996,19.467554076539102,390,Norte
1100023,Ariquemes,RO,3497,518,1.8627394909922792,51.186731484129254,10.523305690591936,90.47755218758937,6.090935087217615,27.99542464969974,38.89047755218759,55.24735487560767,5.862167572204747,487.624118207817,497.43260247855096,515.9279790276453,491.18446139180173,547.6549094375596,507.9648141086749,2098,40.00571918787532,14.812696597083214,2098,Norte
1100049,Cacoal,RO,3150,558,1.6571428571428573,47.14285714285714,5.936507936507937,78.60317460317461,5.2063492063492065,28.825396825396826,46.507936507936506,49.39682539682539,4.095238095238096,494.4118257261411,503.1855809128631,522.9086618257262,507.0167531120332,570.9128630705394,519.6871369294606,1928,38.79365079365079,17.71428571428571,1928,Norte
1100056,Cerejeiras,RO,480,93,1.8145833333333334,50.83333333333333,3.125,94.16666666666667,3.5416666666666665,29.791666666666668,41.041666666666664,56.458333333333336,2.5,482.90607028753993,492.2968051118211,510.4952076677316,479.92907348242807,548.370607028754,502.79955271565495,313,34.791666666666664,19.375,313,Norte
1100064,Colorado do Oeste,RO,578,90,1.657439446366782,38.581314878892734,3.1141868512110724,97.23183391003461,2.941176470588235,23.875432525951556,51.21107266435986,47.2318339100346,1.5570934256055362,497.3528967254408,502.1352644836272,518.115113350126,502.4181360201511,553.2997481108313,514.6642317380353,397,31.314878892733567,15.570934256055363,397,Norte
1100080,Costa Marques,RO,302,57,2.1589403973509933,65.56291390728477,8.609271523178808,97.35099337748345,12.582781456953644,31.788079470198678,28.807947019867548,62.251655629139066,8.940397350993377,466.3908653846154,477.72596153846155,500.0264423076923,470.69615384615383,499.90384615384613,482.9486538461539,208,31.12582781456954,18.874172185430464,208,Norte
1100098,Espigão D'Oeste,RO,746,111,1.9664879356568365,55.49597855227882,5.227882037533512,88.73994638069705,5.898123324396782,41.28686327077748,33.10991957104557,61.52815013404825,5.361930294906166,491.0305239179954,491.7993166287016,507.63097949886105,498.2095671981777,555.7630979498861,508.8866970387244,439,41.15281501340483,14.87935656836461,439,Norte
1100106,Guajará-Mirim,RO,2026,326,2.186574531095755,62.58637709772952,11.204343534057255,94.71865745310957,16.189536031589338,33.95853899308983,28.381046396841064,60.26653504442251,11.352418558736426,461.8030794165316,468.35307941653156,486.4144246353323,442.7951377633711,485.8833063209076,469.04980551053484,1234,39.09180651530109,16.090819348469893,1234,Norte
1100114,Jaru,RO,1743,272,1.8904188181296615,52.89730349971313,6.024096385542169,92.82845668387837,6.138841078600115,31.153184165232357,37.46414228341939,58.23293172690763,4.3029259896729775,486.7662024141133,497.0257195914577,515.4561745589601,491.31810584958214,556.9730733519034,509.5078551532033,1077,38.20998278829604,15.605278255880666,1077,Norte
1100122,Ji-Paraná,RO,3368,528,1.7108076009501187,47.29809976247031,6.0570071258907365,88.27197149643705,5.10688836104513,24.346793349168646,44.388361045130644,51.78147268408551,3.8301662707838484,490.9636915887851,500.4250934579439,519.6056542056075,502.9380841121495,572.4953271028037,517.285570093458,2140,36.46080760095012,15.676959619952493,2140,Norte
1100130,Machadinho D'Oeste,RO,689,124,2.0986937590711174,62.11901306240929,12.336719883889694,91.43686502177069,7.111756168359943,36.86502177068215,30.76923076923077,59.21625544267054,10.014513788098693,481.4278325123153,481.6588669950739,503.53620689655173,473.9985221674877,530.5911330049261,494.2425123152709,406,41.07402031930334,17.99709724238026,406,Norte
1100148,Nova Brasilândia D'Oeste,RO,347,58,2.048991354466859,62.2478386167147,6.9164265129683,95.10086455331412,7.204610951008646,33.429394812680115,30.835734870317005,63.40057636887608,5.763688760806916,484.97341772151896,492.89198312236283,505.66708860759496,496.7270042194093,603.6286919831224,516.7776371308017,237,31.70028818443804,16.714697406340058,237,Norte
1100155,Ouro Preto do Oeste,RO,998,185,1.7885771543086173,50.0,5.410821643286573,91.98396793587175,4.108216432865731,27.354709418837675,42.985971943887776,53.707414829659314,3.306613226452906,497.14968253968254,497.5919047619048,518.4520634920635,500.9844444444445,560.9206349206349,515.0197460317461,630,36.873747494989985,18.537074148296593,630,Norte
1100189,Pimenta Bueno,RO,1097,207,1.84412032816773,53.23609845031905,3.919781221513218,95.9890610756609,4.102096627164995,27.164995442114858,39.106654512306285,57.064721969006385,3.828623518687329,484.946347941567,487.1847277556441,507.4828685258964,482.0525896414342,531.0225763612218,498.5378220451527,753,31.35824977210574,18.86964448495898,753,Norte
1100205,Porto Velho,RO,17893,3337,1.7985804504554854,51.66266137595707,12.809478567037388,83.14983513105683,9.914491700665065,22.32157827083217,41.80964623036942,50.62314871737551,7.567205052255072,487.23518112446277,497.5518638715902,518.2495395140777,487.3860363126042,557.0651697219542,509.4975581089378,11401,36.28234505113732,18.649751299390825,11401,Norte
1100254,Presidente Médici,RO,533,101,2.026266416510319,59.849906191369605,5.065666041275797,96.24765478424015,7.5046904315197,33.95872420262664,34.146341463414636,60.0375234521576,5.816135084427768,485.9445040214477,498.06005361930295,511.3573726541555,490.8895442359249,563.5924932975871,509.9687935656837,373,30.0187617260788,18.94934333958724,373,Norte
1100288,Rolim de Moura,RO,2174,391,1.8684452621895125,51.057957681692734,5.47378104875805,93.83624655013799,6.025758969641214,30.45078196872125,38.86844526218951,57.03771849126035,4.093836246550138,485.9953146853147,494.97538461538466,511.958041958042,489.34566433566437,549.6223776223776,506.37935664335663,1430,34.22263109475621,17.985280588776448,1430,Norte
1100304,Vilhena,RO,3045,491,1.5878489326765188,41.18226600985221,6.830870279146141,83.11986863711002,3.842364532019704,23.809523809523807,50.3448275862069,46.23973727422003,3.4154351395730704,495.45688073394496,502.6088876146789,525.297993119266,504.1659403669725,580.9862385321101,521.7031880733945,1744,42.72577996715927,16.1247947454844,1744,Norte
1100320,São Miguel do Guaporé,RO,672,104,2.107142857142857,61.16071428571429,5.803571428571429,96.42857142857143,8.035714285714286,39.285714285714285,28.57142857142857,65.17857142857143,6.25,478.8345403899722,482.1292479108635,495.60250696378824,463.59470752089135,529.4150417827298,489.915208913649,359,46.577380952380956,15.476190476190476,359,Norte
1100346,Alvorada D'Oeste,RO,485,95,2.0948453608247424,61.649484536082475,4.742268041237113,95.25773195876288,9.072164948453608,38.76288659793815,28.659793814432987,66.59793814432989,4.742268041237113,463.1145061728395,477.11913580246915,497.48641975308647,458.925,542.1604938271605,487.7611111111111,324,33.1958762886598,19.587628865979383,324,Norte
